ROUND/AR	Ac+An/Av	Y
0.438265475	0.150468947	1
0.28742226	0.308790328	1
0.149920626	0.291597338	1
0.172628693	0.386411386	1
0.365664873	0.114341627	1
0.102018653	0.11664608	1
0.144327939	0.125807388	1
0.261309615	0.171068087	1
0.285920539	0.289868884	1
0.38252211	0.250103217	1
0.180458794	0.027206617	1
0.416666667	0.093911149	1
0.319466426	0.083077954	1
0.573094103	0.512258564	1
0.094733926	0.300542792	1
0.083757814	0.170584829	1
0.101571215	0.053036192	1
0.081918883	0.145628002	1
0.311383929	0.066521696	1
0.209295942	0.082955183	1
0.159367639	0.599259974	1
0.125887028	0.182042841	1
0.406812093	0.055920559	1
0.352124377	0.18391437	1
0.245025245	0.845008481	1
0.082419475	0.295046121	1
0.204111136	0.161565609	1
0.253727584	0.101451218	1
0.049288426	0.087953202	1
0.19642778	0.845025567	1
0.356192181	0.878045113	1
0.172565636	1.000453162	1
0.156275944	0.026703442	1
0.07154702	0.052771517	1
0.045369345	0.069873949	1
0.255037624	0.558889137	1
0.364926906	0.880648899	1
0.059243033	0.123985247	1
0.030449501	0.051739778	1
0.178743553	0.299607172	1
0.106986328	0.1567334	1
0.198920655	0.350089188	1
0.563865736	0.554966668	1
0.172227756	0.112601212	1
0.043306349	0.292658747	1
0.079519499	0.225301666	1
0.27209181	0.253281505	1
0.213092051	0.482285232	1
0.252398895	0.23063515	1
0.020277968	0.789309113	1
0.068912108	0.06012083	1
0.204385172	0.263319886	1
0.651598321	0.150434744	1
0.426826081	0.772337605	1
0.313024505	0.420211473	1
0.189839223	0.259493209	1
0.503797289	0.219422518	1
0.158868075	0.327266853	1
0.352511578	0.426461724	1
0.187586625	0.543290891	1
0.255446045	0.218483174	1
0.103621439	0.505126717	1
0.274274641	0.22214243	1
0.130448915	0.648142037	1
0.323419017	0.256761344	1
0.258451528	0.958855626	1
0.155716033	0.77750309	1
0.253892276	0.294749676	1
0.358438604	0.633751623	1
0.315290022	0.587611256	1
0.796519411	0.989012936	0
0.611211008	0.988009032	0
0.280059272	0.985367638	0
0.273302316	1.001398601	0
0.444622258	0.179507774	0
0.405360667	0.998137501	0
0.423172001	0.99494907	0
0.413686648	0.998843644	0
0.773526825	0.972201271	0
0.379667283	0.997218681	0
0.852289513	0.812867407	0
0.148533549	0.542514112	0
0.189746047	1.000979048	0
0.841067498	1.001244813	0
0.685740311	1.000929368	0
0.493362366	1.000789765	0
0.796038544	0.999694545	0
0.611684655	0.988059962	0
0.913504731	0.994880328	0
0.727420043	1.000456204	0
0.502303494	0.983362269	0
0.314582165	1.00098439	0
0.478995086	0.939347132	0
0.198112788	0.985219126	0
0.50963735	0.964864487	0
0.612458914	0.999323563	0
0.507085381	0.97187636	0
0.5	0.661467233	0
0.571115478	0.99385842	0
0.919087336	0.99522369	0
0.661569744	0.999365079	0
0.469375171	0.890670992	0
0.601100946	0.940803709	0
0.42704045	1.00085034	0
0.943564837	1.000842933	0
0.724904215	1.000910581	0
0.588736285	0.930858469	0
0.253930659	1.00004766	0
0.353672316	1.001265823	0
0.339784319	1.001622586	0
0.662082994	1.001589264	0
0.284198742	1.001294858	0
0.3101643	1.000354736	0
0.531306947	0.995927493	0
0.914777618	1.000732601	0
0.800483135	0.968164794	0
0.347962013	0.95569904	0
0.349048801	0.999483827	0
0.435738333	0.98994212	0
0.653569407	0.64248237	0
0.784114053	0.978113352	0
0.543303604	0.862294208	0
0.337886538	1.000432994	0
0.706624075	0.74429476	0
0.790362731	0.995825243	0
0.974627308	0.995987089	0
0.738932348	1.002835782	0
0.436109093	0.992807002	0
0.930824891	0.89285189	0
0.909949442	0.967954071	0
0.368542463	0.28432938	0
0.483144505	0.998860832	0
0.771764913	1.000398406	0
0.837971439	1.003130707	0
0.813638824	1.002241524	0
0.676840806	1.000633312	0
0.894985809	1.000290951	0
0.420796575	1.000931677	0
0.655306403	1.001283697	0
0.30779473	1.000269324	0
0.63986881	0.933909445	0
0.564622783	0.835035862	0
0.773682822	0.984497101	0
0.435586061	0.996789212	0
0.465774927	1.000626253	0
0.674716609	1.001575423	0
0.534771481	1.001376147	0
0.658202174	1.000786658	0
0.10245495	1.003617454	0
0.923690533	1.000707514	0
0.46649819	1.001563198	0
0.587703159	0.79658139	0
0.42939519	0.984436386	0
0.402575979	0.970959027	0
0.620304009	0.812195505	0
0.278775079	0.850674374	0
0.087729171	0.913197336	0
0.668984132	0.859643218	0
0.465674901	0.96575985	0
0.443150047	0.963219489	0
0.906866013	0.921146204	0
0.888134954	0.950752648	0
0.676840806	0.975788796	0
0.472071453	0.988344988	0
0.703775168	1.003080082	0
0.641569884	1.000877963	0
0.524885894	1.002210759	0
0.676785127	1.002037253	0
0.559661854	1	0
0.640496198	0.999337895	0
0.62807101	1.001177163	0
0.331567431	1.004147657	0
0.347280335	1.001530222	0
0.813565437	1.002908514	0
0.502516481	0.996087426	0
0.444748249	1.000839102	0
0.38252211	1.003521127	0
0.609965636	1.002881844	0
0.482325161	1.003082614	0
0.609068914	1.00133833	0
0.668656472	1.00193564	0
0.618130356	1.002406015	0
0.706421247	1.001494768	0
0.726265553	1.002023121	0
0.780772289	1.000756859	0
0.429123543	1.002453988	0
0.656591848	1.001766784	0
0.613107822	1.000773635	0
0.427945313	1.002011623	0
0.443430778	1.00163332	0
0.64067878	1.000413138	0
0.642067308	1.001801153	0
0.482461624	0.990185387	0
0.803675482	0.999715505	0
0.591524381	1.000888691	0
0.472371134	0.997836122	0
0.578819233	0.971791614	0
0.767034507	0.98860249	0
0.222311283	0.908490086	0
0.679775744	1.001954397	0
